Sekolah,Siswa,Mengulang,Putus Sekolah,Kepala Sekolah dan Guru(<S1),Kepala Sekolah dan Guru(≥ S1),Tenaga Kependidikan(SM),Tenaga Kependidikan(>SM),Rombongan Belajar,Ruang kelas(baik),Ruang kelas(rusak ringan),Ruang kelas(rusak sedang),Ruang kelas(rusak berat),Status_Kelayakan,Provinsi_Prov. Aceh,Provinsi_Prov. Bali,Provinsi_Prov. Banten,Provinsi_Prov. Bengkulu,Provinsi_Prov. D.I. Yogyakarta,Provinsi_Prov. D.K.I. Jakarta,Provinsi_Prov. Gorontalo,Provinsi_Prov. Jambi,Provinsi_Prov. Jawa Barat,Provinsi_Prov. Jawa Tengah,Provinsi_Prov. Jawa Timur,Provinsi_Prov. Kalimantan Barat,Provinsi_Prov. Kalimantan Selatan,Provinsi_Prov. Kalimantan Tengah,Provinsi_Prov. Kalimantan Timur,Provinsi_Prov. Kalimantan Utara,Provinsi_Prov. Kepulauan Bangka Belitung,Provinsi_Prov. Kepulauan Riau,Provinsi_Prov. Lampung,Provinsi_Prov. Maluku,Provinsi_Prov. Maluku Utara,Provinsi_Prov. Nusa Tenggara Barat,Provinsi_Prov. Nusa Tenggara Timur,Provinsi_Prov. Papua,Provinsi_Prov. Papua Barat,Provinsi_Prov. Papua Barat Daya,Provinsi_Prov. Papua Pegunungan,Provinsi_Prov. Papua Selatan,Provinsi_Prov. Papua Tengah,Provinsi_Prov. Riau,Provinsi_Prov. Sulawesi Barat,Provinsi_Prov. Sulawesi Selatan,Provinsi_Prov. Sulawesi Tengah,Provinsi_Prov. Sulawesi Tenggara,Provinsi_Prov. Sulawesi Utara,Provinsi_Prov. Sumatera Barat,Provinsi_Prov. Sumatera Selatan,Provinsi_Prov. Sumatera Utara
-0.33197148313688796,0.16326917242408773,-0.7179674022400684,-0.24815547953369846,-0.22216375203678107,-0.040724083925797336,0.19725808477383877,0.7182799111679569,-0.04049433975283798,0.7751546450176993,-0.393455167437175,-0.7303490889172302,-0.7443583519382296,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.2781823388289038,4.532545708711287,0.8486784935888408,3.921150199107324,3.6824906807587356,3.535141405553143,3.58957999479442,2.6550718771960065,3.8199237230602425,3.2661982601574167,3.3997974542164644,3.8355176889141096,3.0483563166623515,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.083393613366499,2.3165110831514353,1.7822697698783838,1.0791515717190614,1.0215852862809334,2.662506140678106,2.5708915147970113,1.6997036428323946,2.6651778094350433,2.6795613346908453,3.0710849169649026,2.7370824098101503,2.7946449739008554,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.4107202940724913,-0.4057206356181011,-1.0881619721437117,-0.9369671126674837,-0.9825648067133965,-0.42841787780344764,-0.2046295645078392,-0.044929030602064934,-0.4244572877514521,-0.262070534720257,-0.3941756332722469,-0.5800269141169102,-0.689567498129098,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.158809141299537,2.2413230814922303,0.8118780866398396,1.8842110119560294,1.6324972738520542,2.9329755889805784,2.5363400879356908,3.159897137399506,2.868111383680218,3.203496373836768,3.119716360832257,2.45228282998576,3.046197071192041,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.05947559767718136,-0.1489458980316815,-0.6285949853639226,-0.2169247253865747,0.7475219965875267,0.15140753886292704,0.04136336931821462,0.20476948519751545,-0.09494192383229562,-0.12169522733865182,-0.06951571634296462,-0.004604463011901692,0.0051697319433398285,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.236129839382387,1.0627308655801564,0.900374303350533,2.8063857802447116,1.960376627703439,1.4296842222593515,1.055257632191325,1.2024779026749692,1.2421938728936555,1.4898050601903916,1.166083190805372,1.1876806063052305,1.6918103499397128,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.08093894880587847,-0.02890227649818742,0.7895349824208031,-0.25769820996754184,-0.288935535343902,0.14249648047337923,0.5404579037408332,1.367496052246866,0.05885005278794156,0.008996656197157669,0.07799966338801026,0.24295313656916576,0.1341846487943986,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
-0.0005181545693090552,0.18683122605847893,0.7032292661237408,0.20208789275400246,0.8990042512544278,0.2103962352444407,0.25164765145984125,0.4631531667640377,0.15786792308536604,0.2679767364985437,0.04413776913963018,0.04712803318064085,0.1663034251652689,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-0.2819722380984097,-0.29093774995247745,-0.36573493572819954,-0.2776511917837598,-0.13446349933489096,-0.2896898514196893,-0.20033130087915815,-0.12309552250454227,-0.2831819971264925,-0.35547093493502363,-0.2222544733782109,-0.19081436422851425,-0.19591000247933546,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
